Round number,Date,Team1,Team2,Venue,Group,Result
1,02-06-2024,Canada, U.S.A.,Dalla,Group A,
1,02-06-2024,P.N.G,West Indies,"Providence Stadium, Georgetown, Guyana",Group C,
1,03-06-2024,Oman,Namibia,"Kensington Oval, Bridgetown, Barbados",Group B,
1,03-06-2024,Srilanka,South Africa,"Nassau County International Cricket Stadium, East Meadow, United States",Group D,
1,04-06-2024,Afganistan,Uganda,"Providence Stadium, Guyana",Group C,
1,04-06-2024,Scotland,England,"Kensington Oval, Bridgetown, Barbados",Group B,
1,04-06-2024,Nepal,Netherland,"Grand Prairie Cricket Stadium, Dallas",Group D,
1,05-06-2024,India,Ireland,"Nassau County International Cricket Stadium, New York",Group A,
1,06-06-2024,P.N.G,Uganda,"Providence Stadium, Guyana",Group C,
1,06-06-2024,Australia,Oman,"Kensington Oval, Bridgetown, Barbados",Group B,
1,06-06-2024, U.S.A.,Pakistan,"Grand Prairie Cricket Stadium, Dallas",Group A,
1,06-06-2024,Namibia,Scotland,"Kensington Oval, Bridgetown, Barbados",Group B,
1,07-06-2024,Canada,Ireland,"Nassau County International Cricket Stadium, New York",Group A,
1,08-06-2024,New Zealand,Afganistan,"Providence Stadium, Guyana",Group C,
1,08-06-2024,Srilanka,Bangladesh,"Grand Prairie Cricket Stadium, Dallas",Group D,
1,08-06-2024,Netherland,South Africa,"Kensington Oval, Bridgetown, Barbados",Group D,
1,08-06-2024,Australia,England,"Nassau County International Cricket Stadium, New York",Group B,
1,09-06-2024,West Indies,Uganda,"Providence Stadium, Guyana",Group C,
1,09-06-2024,Pakistan,India,"Kensington Oval, Bridgetown, Barbados",Group A,
1,09-06-2024,Oman,Scotland,"Sir Vivian Richards Stadium, North Sound, Antigua",Group B,
1,10-06-2024,South Africa,Bangladesh,"Nassau County International Cricket Stadium, New York",Group D,
1,11-06-2024,Pakistan,Canada,"Nassau County International Cricket Stadium, New York",Group A,
1,12-06-2024,Srilanka,Nepal,"Central Broward Park & Broward County Stadium, Lauderhill, Florida",Group D,
1,12-06-2024,Australia,Namibia,"Sir Vivian Richards Stadium, North Sound, Antigua",Group B,
1,12-06-2024, U.S.A.,India,"Nassau County International Cricket Stadium, New York",Group A,
1,13-06-2024,West indies,Newzealand,"Brian Lara Cricket Academy, Trinidad and Tobago",Group C,
1,13-06-2024,Bangladesh,Netherland,"Arnos Vale Ground, Arnos Vale, St Vincent",Group D,
1,13-06-2024,England,Oman,"Sir Vivian Richards Stadium, North Sound, Antigua",Group B,
1,14-06-2024,Afganistan,P.N.G,"Brian Lara Cricket Academy, Trinidad and Tobago",Group C,
1,14-06-2024, U.S.A.,Ireland,"Central Broward Park & Broward County Stadium, Lauderhill, Florida",Group A,
1,15-06-2024,South Africa,Nepal,"Arnos Vale Ground, Arnos Vale, St Vincent",Group D,
1,15-06-2024,New Zealand,Uganda,"Brian Lara Cricket Academy, Trinidad and Tobago",Group C,
1,15-06-2024,India,Canada,"Central Broward Park & Broward County Stadium, Lauderhill, Florida",Group A,
1,15-06-2024,Namibia,England,"Sir Vivian Richards Stadium, North Sound, Antigua",Group B,
1,16-06-2024,Australia,Scotland,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Group B,
1,16-06-2024,Pakistan,Ireland,"Central Broward Park & Broward County Stadium, Lauderhill, Florida",Group A,
1,17-06-2024,Bangladesh,Nepal,"Arnos Vale Ground, Arnos Vale, St Vincent",Group D,
1,17-06-2024,Srilanka,Netherland,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Group D,
1,17-06-2024,New Zealand,P.N.G,"Brian Lara Cricket Academy, Trinidad and Tobago",Group C,
1,18-06-2024,West indies,Afganistan,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Group C,
1,19-06-2024,,,"Sir Vivian Richards Stadium, North Sound, Antigua",,
1,20-06-2024,,,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",,
1,20-06-2024,,,"Kensington Oval, Bridgetown, Barbados",,
1,21-06-2024,,,"Sir Vivian Richards Stadium, North Sound, Antigua",,
1,21-06-2024,,,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",,
1,22-06-2024,,,"Kensington Oval, Bridgetown, Barbados",,
1,22-06-2024,,,"Kensington Oval, Bridgetown, Barbados",,
1,23-06-2024,,,,,
1,23-06-2024,,,"Kensington Oval, Bridgetown, Barbados",,
1,24-06-2024,,,"Sir Vivian Richards Stadium, North Sound, Antigua",,
1,24-06-2024,,,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",,
1,25-06-2024,,,,,
Semi Final-1,27-06-2024,,,,,
Semi Final-2,27-06-2024,,,,,
Final,29-06-2024,,,,,
