Team1,Runs,Wickets,Overs,RPO,Inns,Result,Winner,Team2,Ground,Start Date
Australia,214,5,20,10.7,1,won,Australia, New Zealand,Auckland,17-Feb-05
England,179,8,20,8.95,1,won,England, Australia,Southampton,13-Jun-05
South Africa,133,,19.3,6.82,1,lost, New Zealand, New Zealand,Johannesburg,21-Oct-05
Australia,209,3,20,10.45,1,won,Australia, South Africa,Brisbane,09-Jan-06
West Indies,126,7,20,6.3,1,tied,Tied, New Zealand,Auckland,16-Feb-06
South Africa,201,4,20,10.05,1,won,South Africa, Australia,Johannesburg,24-Feb-06
Srilanka,163,,20,8.15,1,won,Srilanka, England,Southampton,15-Jun-06
England,144,7,20,7.2,1,lost, Pakistan, Pakistan,Bristol,28-Aug-06
Bangladesh,166,,19.5,8.36,1,won,Bangladesh, Zimbabwe,Khulna,28-Nov-06
South Africa,126,9,20,6.3,1,lost, India, India,Johannesburg,01-Dec-06
New Zealand,162,8,20,8.1,1,lost, Srilanka, Srilanka,Wellington,22-Dec-06
Srilanka,115,,18.2,6.27,1,lost, New Zealand, New Zealand,Auckland,26-Dec-06
Australia,221,5,20,11.05,1,won,Australia, England,Sydney,09-Jan-07
Pakistan,129,8,20,6.45,1,lost, South Africa, South Africa,Johannesburg,02-Feb-07
West Indies,208,8,20,10.4,1,won,West Indies, England,The Oval,28-Jun-07
West Indies,169,7,20,8.45,1,lost, England, England,The Oval,29-Jun-07
Kenya,138,7,20,6.9,1,lost, Bangladesh, Bangladesh,Nairobi (Gym),01-Sep-07
Pakistan,191,7,20,9.55,1,won,Pakistan, Bangladesh,Nairobi (Gym),02-Sep-07
Kenya,92,,19.4,4.67,1,lost, Pakistan, Pakistan,Nairobi (Gym),04-Sep-07
West Indies,205,6,20,10.25,1,lost, South Africa, South Africa,Johannesburg,11-Sep-07
Kenya,73,,16.5,4.33,1,lost, New Zealand, New Zealand,Durban,12-Sep-07
Pakistan,171,9,20,8.55,1,won,Pakistan, Scotland,Durban,12-Sep-07
Australia,138,9,20,6.9,1,lost, Zimbabwe, Zimbabwe,Cape Town,12-Sep-07
West Indies,164,8,20,8.2,1,lost, Bangladesh, Bangladesh,Johannesburg,13-Sep-07
England,188,9,20,9.4,1,won,England, Zimbabwe,Cape Town,13-Sep-07
Srilanka,260,6,20,13,1,won,Srilanka, Kenya,Johannesburg,14-Sep-07
England,135,,20,6.75,1,lost, Australia, Australia,Cape Town,14-Sep-07
India,141,9,20,7.05,1,tied,Tied, Pakistan,Durban,14-Sep-07
New Zealand,164,7,20,8.2,1,lost, Srilanka, Srilanka,Johannesburg,15-Sep-07
Bangladesh,144,,19.3,7.38,1,lost, South Africa, South Africa,Cape Town,15-Sep-07
New Zealand,190,,20,9.5,1,won,New Zealand, India,Johannesburg,16-Sep-07
Bangladesh,123,8,20,6.15,1,lost, Australia, Australia,Cape Town,16-Sep-07
South Africa,154,8,20,7.7,1,won,South Africa, England,Cape Town,16-Sep-07
Pakistan,189,6,20,9.45,1,won,Pakistan, Srilanka,Johannesburg,17-Sep-07
New Zealand,164,9,20,8.2,1,won,New Zealand, England,Durban,18-Sep-07
Australia,164,7,20,8.2,1,lost, Pakistan, Pakistan,Johannesburg,18-Sep-07
Srilanka,147,5,20,7.35,1,won,Srilanka, Bangladesh,Johannesburg,18-Sep-07
New Zealand,153,8,20,7.65,1,lost, South Africa, South Africa,Durban,19-Sep-07
India,218,4,20,10.9,1,won,India, England,Durban,19-Sep-07
Srilanka,101,,19.3,5.17,1,lost, Australia, Australia,Cape Town,20-Sep-07
Bangladesh,140,,19.4,7.11,1,lost, Pakistan, Pakistan,Cape Town,20-Sep-07
India,153,5,20,7.65,1,won,India, South Africa,Durban,20-Sep-07
New Zealand,143,8,20,7.15,1,lost, Pakistan, Pakistan,Cape Town,22-Sep-07
India,188,5,20,9.4,1,won,India, Australia,Durban,22-Sep-07
India,157,5,20,7.85,1,won,India, Pakistan,Johannesburg,24-Sep-07
Australia,166,5,20,8.3,1,lost, India, India,Brabourne,20-Oct-07
New Zealand,129,7,20,6.45,1,lost, South Africa, South Africa,Johannesburg,23-Nov-07
Australia,186,6,20,9.3,1,won,Australia, New Zealand,Perth,11-Dec-07
South Africa,58,8,13,4.46,1,lost, West Indies, West Indies,Gqeberha,16-Dec-07
West Indies,131,7,20,6.55,1,lost, South Africa, South Africa,Johannesburg,18-Jan-08
India,74,,17.3,4.22,1,lost, Australia, Australia,Melbourne,01-Feb-08
England,184,8,20,9.2,1,won,England, New Zealand,Auckland,05-Feb-08
England,193,8,20,9.65,1,won,England, New Zealand,Christchurch,07-Feb-08
Pakistan,203,5,20,10.15,1,won,Pakistan, Bangladesh,Karachi,20-Apr-08
New Zealand,123,9,20,6.15,1,lost, England, England,Manchester,13-Jun-08
Australia,97,3,11,8.81,1,lost, West Indies, West Indies,Bridgetown,20-Jun-08
Netherland,153,5,20,7.65,1,won,Netherland, Kenya,Belfast,02-Aug-08
Scotland,117,,20,5.85,1,lost, Ireland, Ireland,Belfast,02-Aug-08
Netherland,97,,18.4,5.19,1,lost, Canada, Canada,Belfast,02-Aug-08
Bermuda,99,7,20,4.95,1,lost, Scotland, Scotland,Belfast,03-Aug-08
Canada,91,,19.4,4.62,1,lost, Kenya, Kenya,Belfast,03-Aug-08
Ireland,43,7,9,4.77,1,won,Ireland, Bermuda,Belfast,03-Aug-08
Kenya,67,,17.2,3.86,1,lost, Ireland, Ireland,Belfast,04-Aug-08
Scotland,107,8,20,5.35,1,lost, Netherland, Netherland,Belfast,04-Aug-08
Kenya,106,9,20,5.3,1,lost, Scotland, Scotland,Belfast,04-Aug-08
Bermuda,70,,20,3.5,1,lost, Canada, Canada,Belfast,05-Aug-08
Zimbabwe,106,8,17,6.23,1,lost, Srilanka, Srilanka,King City (NW),10-Oct-08
Pakistan,137,7,20,6.85,1,won,Pakistan, Canada,King City (NW),10-Oct-08
Canada,135,7,20,6.75,1,tied,Tied, Zimbabwe,King City (NW),11-Oct-08
Srilanka,137,9,20,6.85,1,lost, Pakistan, Pakistan,King City (NW),11-Oct-08
Zimbabwe,107,8,20,5.35,1,lost, Pakistan, Pakistan,King City (NW),12-Oct-08
Srilanka,153,7,20,7.65,1,won,Srilanka, Canada,King City (NW),12-Oct-08
Zimbabwe,184,5,20,9.2,1,won,Zimbabwe, Canada,King City (NW),13-Oct-08
Pakistan,132,7,20,6.6,1,lost, Srilanka, Srilanka,King City (NW),13-Oct-08
South Africa,118,7,14,8.42,1,won,South Africa, Bangladesh,Johannesburg,05-Nov-08
New Zealand,155,7,20,7.75,1,tied,Tied, West Indies,Auckland,26-Dec-08
New Zealand,191,9,20,9.55,1,won,New Zealand, West Indies,Hamilton,28-Dec-08
Australia,182,9,20,9.1,1,won,Australia, South Africa,Melbourne,11-Jan-09
South Africa,157,5,20,7.85,1,lost, Australia, Australia,Brisbane,13-Jan-09
Srilanka,171,4,20,8.55,1,lost, India, India,Colombo (RPS),10-Feb-09
Australia,150,7,20,7.5,1,won,Australia, New Zealand,Sydney,15-Feb-09
India,162,8,20,8.1,1,lost, New Zealand, New Zealand,Christchurch,25-Feb-09
India,149,6,20,7.45,1,lost, New Zealand, New Zealand,Wellington,27-Feb-09
England,121,,19.1,6.31,1,lost, West Indies, West Indies,Port of Spain,15-Mar-09
Australia,166,7,20,8.3,1,lost, South Africa, South Africa,Johannesburg,27-Mar-09
South Africa,156,5,20,7.8,1,won,South Africa, Australia,Centurion,29-Mar-09
Australia,108,,19.5,5.44,1,lost, Pakistan, Pakistan,Dubai (DICS),07-May-09
England,162,5,20,8.1,1,lost, Netherland, Netherland,Lord's,05-Jun-09
Scotland,89,4,7,12.71,1,lost, New Zealand, New Zealand,The Oval,06-Jun-09
Australia,169,7,20,8.45,1,lost, West Indies, West Indies,The Oval,06-Jun-09
India,180,5,20,9,1,won,India, Bangladesh,Nottingham,06-Jun-09
South Africa,211,5,20,10.55,1,won,South Africa, Scotland,The Oval,07-Jun-09
England,185,5,20,9.25,1,won,England, Pakistan,The Oval,07-Jun-09
Bangladesh,137,8,20,6.85,1,lost, Ireland, Ireland,Nottingham,08-Jun-09
Australia,159,9,20,7.95,1,lost, Srilanka, Srilanka,Nottingham,08-Jun-09
Pakistan,175,5,20,8.75,1,won,Pakistan, Netherland,Lord's,09-Jun-09
South Africa,128,7,20,6.4,1,won,South Africa, New Zealand,Lord's,09-Jun-09
Srilanka,192,5,20,9.6,1,won,Srilanka, West Indies,Nottingham,10-Jun-09
Ireland,112,8,18,6.22,1,lost, India, India,Nottingham,10-Jun-09
New Zealand,198,5,20,9.9,1,won,New Zealand, Ireland,Nottingham,11-Jun-09
England,111,,19.5,5.59,1,lost, South Africa, South Africa,Nottingham,11-Jun-09
Srilanka,150,7,20,7.5,1,won,Srilanka, Pakistan,Lord's,12-Jun-09
India,153,7,20,7.65,1,lost, West Indies, West Indies,Lord's,12-Jun-09
South Africa,183,7,20,9.15,1,won,South Africa, West Indies,The Oval,13-Jun-09
New Zealand,99,,18.3,5.35,1,lost, Pakistan, Pakistan,The Oval,13-Jun-09
Srilanka,144,9,20,7.2,1,won,Srilanka, Ireland,Lord's,14-Jun-09
England,153,7,20,7.65,1,won,England, India,Lord's,14-Jun-09
Pakistan,159,5,20,7.95,1,won,Pakistan, Ireland,The Oval,15-Jun-09
England,161,6,20,8.05,1,lost, West Indies, West Indies,The Oval,15-Jun-09
Srilanka,158,5,20,7.9,1,won,Srilanka, New Zealand,Nottingham,16-Jun-09
South Africa,130,5,20,6.5,1,won,South Africa, India,Nottingham,16-Jun-09
Pakistan,149,4,20,7.45,1,won,Pakistan, South Africa,Nottingham,18-Jun-09
Srilanka,158,5,20,7.9,1,won,Srilanka, West Indies,The Oval,19-Jun-09
Srilanka,138,6,20,6.9,1,lost, Pakistan, Pakistan,Lord's,21-Jun-09
Bangladesh,118,9,20,5.9,1,lost, West Indies, West Indies,Basseterre,02-Aug-09
Pakistan,172,5,20,8.6,1,won,Pakistan, Srilanka,Colombo (RPS),12-Aug-09
New Zealand,141,8,20,7.05,1,won,New Zealand, Srilanka,Colombo (RPS),02-Sep-09
New Zealand,170,4,20,8.5,1,won,New Zealand, Srilanka,Colombo (RPS),04-Sep-09
Pakistan,161,8,20,8.05,1,won,Pakistan, New Zealand,Dubai (DICS),12-Nov-09
Pakistan,153,5,20,7.65,1,won,Pakistan, New Zealand,Dubai (DICS),13-Nov-09
England,202,6,20,10.1,1,won,England, South Africa,Johannesburg,13-Nov-09
South Africa,241,6,20,12.05,1,won,South Africa, England,Centurion,15-Nov-09
Srilanka,215,5,20,10.75,1,won,Srilanka, India,Nagpur,09-Dec-09
Srilanka,206,7,20,10.3,1,lost, India, India,Mohali,12-Dec-09
Afganistan,121,9,20,6.05,1,lost, Ireland, Ireland,Colombo (PSS),01-Feb-10
Scotland,109,9,20,5.45,1,lost, Kenya, Kenya,Nairobi (Gym),01-Feb-10
Canada,176,3,20,8.8,1,won,Canada, Ireland,Colombo (SSC),03-Feb-10
Bangladesh,78,,17.3,4.45,1,lost, New Zealand, New Zealand,Hamilton,03-Feb-10
Canada,140,6,20,7,1,lost, Afganistan, Afganistan,Colombo (SSC),04-Feb-10
Scotland,123,,19.2,6.36,1,lost, Kenya, Kenya,Nairobi (Gym),04-Feb-10
Australia,127,,18.4,6.8,1,won,Australia, Pakistan,Melbourne,05-Feb-10
Afganistan,139,8,20,6.95,1,won,Afganistan, Ireland,Dubai (DICS),09-Feb-10
Canada,142,7,20,7.1,1,lost, Netherland, Netherland,Dubai (DICS),09-Feb-10
Afganistan,131,7,20,6.55,1,won,Afganistan, Scotland,Abu Dhabi,10-Feb-10
Canada,138,9,20,6.9,1,lost, Kenya, Kenya,Dubai (DICS),10-Feb-10
Kenya,130,,19.4,6.61,1,lost, Netherland, Netherland,Abu Dhabi,11-Feb-10
Ireland,136,7,20,6.8,1,won,Ireland, Scotland,Dubai (DICS),11-Feb-10
Afganistan,128,9,20,6.4,1,lost, Netherland, Netherland,Dubai (DICS),12-Feb-10
Ireland,151,6,20,7.55,1,won,Ireland, Netherland,Dubai (DICS),13-Feb-10
Ireland,142,8,20,7.1,1,lost, Afganistan, Afganistan,Dubai (DICS),13-Feb-10
Pakistan,129,8,20,6.45,1,lost, England, England,Dubai (DICS),19-Feb-10
England,148,6,20,7.4,1,lost, Pakistan, Pakistan,Dubai (DICS),20-Feb-10
Australia,179,8,20,8.95,1,won,Australia, West Indies,Hobart,21-Feb-10
West Indies,138,7,20,6.9,1,lost, Australia, Australia,Sydney,23-Feb-10
New Zealand,118,,20,5.9,1,lost, Australia, Australia,Wellington,26-Feb-10
New Zealand,214,6,20,10.7,1,tied,Tied, Australia,Christchurch,28-Feb-10
Zimbabwe,105,,19.5,5.29,1,won,Zimbabwe, West Indies,Port of Spain,28-Feb-10
Srilanka,135,6,20,6.75,1,lost, New Zealand, New Zealand,Providence,30-Apr-10
West Indies,138,9,20,6.9,1,won,West Indies, Ireland,Providence,30-Apr-10
Afganistan,115,8,20,5.75,1,lost, India, India,Gros Islet,01-May-10
Pakistan,172,3,20,8.6,1,won,Pakistan, Bangladesh,Gros Islet,01-May-10
India,186,5,20,9.3,1,won,India, South Africa,Gros Islet,02-May-10
Australia,191,,20,9.55,1,won,Australia, Pakistan,Gros Islet,02-May-10
Srilanka,173,7,20,8.65,1,won,Srilanka, Zimbabwe,Providence,03-May-10
England,191,5,20,9.55,1,lost, West Indies, West Indies,Providence,03-May-10
Zimbabwe,84,,15.1,5.53,1,lost, New Zealand, New Zealand,Providence,04-May-10
Australia,141,7,20,7.05,1,won,Australia, Bangladesh,Bridgetown,05-May-10
South Africa,139,7,20,6.95,1,won,South Africa, Afganistan,Bridgetown,05-May-10
Pakistan,147,9,20,7.35,1,lost, England, England,Bridgetown,06-May-10
South Africa,170,4,20,8.5,1,won,South Africa, New Zealand,Bridgetown,06-May-10
Australia,184,5,20,9.2,1,won,Australia, India,Bridgetown,07-May-10
Srilanka,195,3,20,9.75,1,won,Srilanka, West Indies,Bridgetown,07-May-10
New Zealand,133,7,20,6.65,1,won,New Zealand, Pakistan,Bridgetown,08-May-10
England,168,7,20,8.4,1,won,England, South Africa,Bridgetown,08-May-10
West Indies,169,6,20,8.45,1,won,West Indies, India,Bridgetown,09-May-10
Australia,168,5,20,8.4,1,won,Australia, Srilanka,Bridgetown,09-May-10
Pakistan,148,7,20,7.4,1,won,Pakistan, South Africa,Gros Islet,10-May-10
New Zealand,149,6,20,7.45,1,lost, England, England,Gros Islet,10-May-10
India,163,5,20,8.15,1,lost, Srilanka, Srilanka,Gros Islet,11-May-10
West Indies,105,,19,5.52,1,lost, Australia, Australia,Gros Islet,11-May-10
Srilanka,128,6,20,6.4,1,lost, England, England,Gros Islet,13-May-10
Pakistan,191,6,20,9.55,1,lost, Australia, Australia,Gros Islet,14-May-10
Australia,147,6,20,7.35,1,lost, England, England,Bridgetown,16-May-10
South Africa,136,7,20,6.8,1,won,South Africa, West Indies,North Sound,19-May-10
South Africa,120,7,20,6,1,won,South Africa, West Indies,North Sound,20-May-10
New Zealand,120,7,20,6,1,won,New Zealand, Srilanka,Lauderhill,22-May-10
New Zealand,81,,17.3,4.62,1,lost, Srilanka, Srilanka,Lauderhill,23-May-10
Zimbabwe,111,9,20,5.55,1,lost, India, India,Harare,12-Jun-10
Zimbabwe,140,5,20,7,1,lost, India, India,Harare,13-Jun-10
Pakistan,167,8,20,8.35,1,won,Pakistan, Australia,Birmingham,05-Jul-10
Pakistan,162,9,20,8.1,1,won,Pakistan, Australia,Birmingham,06-Jul-10
Pakistan,126,4,20,6.3,1,lost, England, England,Cardiff,05-Sep-10
Pakistan,89,,18.4,4.76,1,lost, England, England,Cardiff,07-Sep-10
Zimbabwe,168,4,20,8.4,1,lost, South Africa, South Africa,Bloemfontein,08-Oct-10
South Africa,194,6,20,9.7,1,won,South Africa, Zimbabwe,Kimberley,10-Oct-10
Pakistan,119,,19.5,6,1,lost, South Africa, South Africa,Abu Dhabi,26-Oct-10
Pakistan,120,9,20,6,1,lost, South Africa, South Africa,Abu Dhabi,27-Oct-10
Australia,133,8,20,6.65,1,lost, Srilanka, Srilanka,Perth,31-Oct-10
Pakistan,143,9,20,7.15,1,lost, New Zealand, New Zealand,Auckland,26-Dec-10
New Zealand,185,7,20,9.25,1,won,New Zealand, Pakistan,Hamilton,28-Dec-10
Pakistan,183,6,20,9.15,1,won,Pakistan, New Zealand,Christchurch,30-Dec-10
India,168,6,20,8.4,1,won,India, South Africa,Durban,09-Jan-11
Australia,157,4,20,7.85,1,lost, England, England,Adelaide,12-Jan-11
Australia,147,7,20,7.35,1,won,Australia, England,Melbourne,14-Jan-11
West Indies,150,7,20,7.5,1,won,West Indies, Pakistan,Gros Islet,21-Apr-11
India,159,6,20,7.95,1,won,India, West Indies,Port of Spain,04-Jun-11
England,136,9,20,6.8,1,lost, Srilanka, Srilanka,Bristol,25-Jun-11
Srilanka,198,3,20,9.9,1,won,Srilanka, Australia,Pallekele,06-Aug-11
Srilanka,157,9,20,7.85,1,won,Srilanka, Australia,Pallekele,08-Aug-11
India,165,,19.4,8.38,1,lost, England, England,Manchester,31-Aug-11
Pakistan,198,4,20,9.9,1,won,Pakistan, Zimbabwe,Harare,16-Sep-11
Pakistan,141,7,20,7.05,1,won,Pakistan, Zimbabwe,Harare,18-Sep-11
West Indies,125,,19.4,6.35,1,lost, England, England,The Oval,23-Sep-11
West Indies,113,5,20,5.65,1,won,West Indies, England,The Oval,25-Sep-11
West Indies,132,8,20,6.6,1,lost, Bangladesh, Bangladesh,Mirpur,11-Oct-11
South Africa,146,7,20,7.3,1,lost, Australia, Australia,Cape Town,13-Oct-11
Zimbabwe,123,8,20,6.15,1,lost, New Zealand, New Zealand,Harare,15-Oct-11
Australia,147,8,20,7.35,1,lost, South Africa, South Africa,Johannesburg,16-Oct-11
New Zealand,187,3,18,10.38,1,won,New Zealand, Zimbabwe,Harare,17-Oct-11
India,120,9,20,6,1,lost, England, England,Eden Gardens,29-Oct-11
Srilanka,141,,19.3,7.23,1,lost, Pakistan, Pakistan,Abu Dhabi,25-Nov-11
Pakistan,135,7,20,6.75,1,won,Pakistan, Bangladesh,Mirpur,29-Nov-11
Australia,171,4,20,8.55,1,won,Australia, India,Sydney,01-Feb-12
Australia,131,,19.4,6.66,1,lost, India, India,Melbourne,03-Feb-12
Zimbabwe,159,8,20,7.95,1,lost, New Zealand, New Zealand,Auckland,11-Feb-12
Zimbabwe,200,2,20,10,1,lost, New Zealand, New Zealand,Hamilton,14-Feb-12
South Africa,147,6,20,7.35,1,lost, New Zealand, New Zealand,Wellington,17-Feb-12
New Zealand,173,4,20,8.65,1,lost, South Africa, South Africa,Hamilton,19-Feb-12
South Africa,165,7,20,8.25,1,won,South Africa, New Zealand,Auckland,22-Feb-12
